Point Index,Radiation (kWh/m²),Time
538,2.24,48:06.6
539,2.24,49:12.3
540,2.24,50:18.0
541,2.25,51:23.7
542,2.24,52:29.4
543,2.24,53:35.1
544,1.84,54:40.8
545,1.76,55:46.5
546,1.76,56:52.3
547,1.76,57:58.0
548,1.76,59:03.7
549,1.76,00:09.4
550,1.76,01:15.1
551,1.76,02:20.8
552,1.76,03:26.5
553,1.55,04:32.2
554,2.24,05:37.9
555,2.24,06:43.7
556,2.24,07:49.4
557,2.24,08:55.1
558,2.24,10:00.8
559,2.24,11:06.5
560,2.25,12:12.2
561,2.24,13:17.9
562,2.24,14:23.6
563,1.86,15:29.3
564,1.76,16:35.0
565,1.76,17:40.8
566,1.76,18:46.5
567,1.76,19:52.2
568,1.76,20:57.9
569,1.76,22:03.6
570,1.76,23:09.3
571,1.76,24:15.0
572,2.38,25:20.7
573,2.24,26:26.4
574,2.24,27:32.2
575,2.24,28:37.9
576,2.24,29:43.6
577,2.24,30:49.3
578,2.24,31:55.0
579,2.24,33:00.7
580,2.24,34:06.4
581,2.24,35:12.1
582,1.89,36:17.8
583,1.76,37:23.5
584,1.76,38:29.3
585,1.76,39:35.0
586,1.76,40:40.7
587,1.76,41:46.4
588,1.76,42:52.1
589,1.76,43:57.8
590,1.76,45:03.5
591,1.95,46:09.2
592,2.24,47:14.9
593,2.24,48:20.7
594,2.24,49:26.4
595,2.24,50:32.1
596,2.24,51:37.8
597,2.24,52:43.5
598,2.25,53:49.2
599,2.24,54:54.9
600,2.24,56:00.6
601,1.76,57:06.3
602,1.76,58:12.0
603,1.76,59:17.8
604,1.76,00:23.5
605,1.76,01:29.2
606,1.76,02:34.9
607,1.76,03:40.6
608,1.76,04:46.3
609,1.76,05:52.0
610,2.08,06:57.7
611,2.24,08:03.4
612,2.24,09:09.2
613,2.24,10:14.9
614,2.24,11:20.6
615,2.24,12:26.3
616,2.24,13:32.0
617,2.25,14:37.7
618,2.24,15:43.4
619,2.1,16:49.1
620,1.76,17:54.8
621,1.76,19:00.5
622,1.76,20:06.3
623,1.76,21:12.0
624,1.76,22:17.7
625,1.76,23:23.4
626,1.76,24:29.1
627,1.76,25:34.8
628,1.76,26:40.5
629,2.22,27:46.2
630,2.24,28:51.9
631,2.24,29:57.7
632,2.24,31:03.4
633,2.24,32:09.1
634,2.24,33:14.8
635,2.25,34:20.5
636,2.24,35:26.2
637,2.24,36:31.9
638,1.96,37:37.6
639,1.76,38:43.3
640,1.76,39:49.0
641,1.76,40:54.8
642,1.76,42:00.5
643,1.76,43:06.2
644,1.76,44:11.9
645,1.76,45:17.6
646,1.76,46:23.3
647,1.57,47:29.0
648,2.1,48:34.7
649,2.24,49:40.4
650,2.24,50:46.2
651,2.24,51:51.9
652,2.24,52:57.6
653,2.24,54:03.3
654,2.25,55:09.0
655,2.25,56:14.7
656,2.24,57:20.4
657,1.99,58:26.1
658,1.76,59:31.8
659,1.76,00:37.5
660,1.76,01:43.3
661,1.76,02:49.0
662,1.76,03:54.7
663,1.76,05:00.4
664,1.76,06:06.1
665,1.76,07:11.8
666,1.99,08:17.5
667,3.13,09:23.2
668,2.69,10:28.9
669,2.24,11:34.7
670,2.24,12:40.4
671,2.24,13:46.1
672,2.24,14:51.8
673,2.24,15:57.5
674,2.24,17:03.2
675,2.24,18:08.9
676,2.24,19:14.6
677,2.11,20:20.3
678,1.76,21:26.0
679,1.76,22:31.8
680,1.76,23:37.5
681,1.76,24:43.2
682,1.76,25:48.9
683,1.76,26:54.6
684,1.76,28:00.3
685,1.76,29:06.0
686,1.76,30:11.7
687,3.01,31:17.4
688,2.51,32:23.2
689,2.24,33:28.9
690,2.24,34:34.6
691,2.24,35:40.3
692,2.24,36:46.0
693,2.24,37:51.7
694,2.25,38:57.4
695,2.25,40:03.1
696,2.24,41:08.8
697,2.08,42:14.5
698,1.76,43:20.3
699,1.76,44:26.0
700,1.76,45:31.7
701,1.76,46:37.4
702,1.76,47:43.1
703,1.76,48:48.8
704,1.76,49:54.5
705,1.76,51:00.2
706,1.76,52:05.9
707,3.1,53:11.7
708,2.45,54:17.4
709,2.24,55:23.1
710,2.24,56:28.8
711,2.24,57:34.5
712,2.24,58:40.2
713,2.24,59:45.9
714,2.25,00:51.6
715,2.25,01:57.3
716,2.24,03:03.1
717,2.05,04:08.8
718,1.76,05:14.5
719,1.76,06:20.2
720,1.76,07:25.9
721,1.76,08:31.6
722,1.76,09:37.3
723,1.76,10:43.0
724,1.76,11:48.7
725,1.76,12:54.4
726,1.83,14:00.2
727,3.13,15:05.9
728,2.39,16:11.6
729,2.24,17:17.3
730,2.24,18:23.0
731,2.24,19:28.7
732,2.24,20:34.4
733,2.24,21:40.1
734,2.25,22:45.8
735,2.25,23:51.6
736,2.24,24:57.3
737,2.01,26:03.0
738,1.76,27:08.7
739,1.76,28:14.4
740,1.76,29:20.1
741,1.76,30:25.8
742,1.76,31:31.5
743,1.76,32:37.2
744,1.76,33:42.9
745,1.76,34:48.7
746,1.93,35:54.4
747,3.13,37:00.1
748,1.88,38:05.8
749,2.24,39:11.5
750,2.24,40:17.2
751,2.24,41:22.9
752,2.24,42:28.6
753,2.24,43:34.3
754,2.24,44:40.1
755,2.25,45:45.8
756,2.24,46:51.5
757,2.14,47:57.2
758,1.76,49:02.9
759,1.76,50:08.6
760,1.76,51:14.3
761,1.76,52:20.0
762,1.76,53:25.7
763,1.76,54:31.4
764,1.76,55:37.2
765,1.76,56:42.9
766,1.76,57:48.6
767,1.76,58:54.3
